a 嗄啊錒锕吖呵阿腌
pei 辔珮沛阫怌琣毰賠抷裴浿胚霈斾犻肧錇茷伂俖陪淠轡衃配馷旆裵帔姵昢呸锫醅佩嶏培婄赔
pen 盆瓫湓葐衯噴喷濆喯歕
peng 淎蓬硑彭芃恲漨堋駍掽膨摓蟛弸韸輣韼嘭磞髼竼錋怦閛逬剻梈胓椪挷纄朋軯烹澎鬅硼捧塳騯熢篣迸砰痭踫鵬抨篷鬔漰憉槰棚皏淜莑蟚匉稝泙搒塜樥椖鹏蘕倗碰鑝
pi 疋膍毞抷憵睤妚仳秛篺披銔陴澼稫鲏鼙鉟怶礔鷿羆潎嫓焷媲魮髬郫睥疲邳脴狓狉坏悂駓阰豼蚍罷脾鮍闢甓崥痺枇琵否苉諀淠箆岯螕旇罢辟耚錍肶紕嚭笓粃匹秠噽毘炋魾罴釽埤痞鈚芘蚽砒貔螷腗鴄圮裨僻鈲蚾猈蠯嚊皮磇翍朇椑蜱銢劈吡嶏鈈豾噼铍枈鎞批坯霹毗錃啤庀丕纰壀屁礕癖揊陂隦伾譬伓擗鈹疈
pian 諚覑骗跰諞甂駢貵騈篇緶賆囨鶣騗缏蹁璸媥辯便騙片翩鍂楩猵谝犏偏楄骈扁腁骿胼
piao 蔈篻闝飘醥螵朴飄殍剽魒顠勡縹僄嘌旚彯骉徱飃皫嫖慓票薸髟莩骠翲瞟謤犥漂驃瓢驫缥
pie 氕撇撆覕暼鐅丿嫳瞥潎苤
pin 穦驞嫔娦拼聘品馪拚礗矉嚬琕蠙汖玭蘋颦姘砏貧頻薲牝顰贫嬪频榀
ping 硑鮃憑蛢瓶蚲箳平聠玶缾鵧檘帡蓱艵甁幈屛鉼俜馮頩胓洴呯苹冯枰屏涄輧郱娉評焩凭坪蘋軿淜乒砯竮凴慿泙甹帲鲆萍簈荓评
po 笸坡駊濼朴泼皛粕砶蒪尀酦巿婆搫蔢珀鄱潑奤鉕迫破昢泺叵钷馞淿魄湐廹櫇哱岶钋繁頗岥鏺攴猼謈敀洦髆烞陂醱颇釙泊皤嘙
pou 垺抔頮剖吥棓哣捊郶箁犃襃娝裒掊婄咅
pu 埔檏圤噗氆擈暜朴葡暴蒲镤曝荹纀捗諩圃烳巬铺贌普襥鋪剝蜅脯譜獛墣酺蒱瀑匍莆襆璞镨谱樸柨痡浦僕濮圑瞨仆炇堡穙撲鏷蹼舖溥鐠鯆扑剥菩陠潽
qi 乞憇薺岓祺踦呮琪栔祁斊婍唭骑琦蜝稽淒憩讫芪弃汽鵸氣盀趞洓霋俟櫀肵鲯蜞慼鬐魌鰭焏僛磜娸荎騏炁欫躤諆奇鯕蚚锜沏启蚔气呇屺鼜盵啟湇愭踖掑鮨器欹泣忔妻戚蛴綦玂濝碁荠蚑七期畦齊脐蘄鐖躩企蹊芞歧汔鶈桤綨攲榿跂緀旂釮鶀啔芑邔夡竒郪漆頎鳍悽璂岂甈缉軝猉起颀慽葺諬契裿暣麒棋唘埼綺矵倛蟿袳纃杞麡嘁梩崎鬾咠扢岐磧祈螇嵜碕齐軙粸艩蠐斉庈棨摖栖晵亓碛騎欺舙忯桼棄禥其旗稘騹柒绮錡魕亝圻鏚剘骐淇棊捿礘肐藄臍玘懠耆觭愒疧棲萁檱豈槭迉萕綮蕲褀敧紪啓闙鬿訖噐萋傶鄿踑祇湆迄碶砌磩綥凄緝朞罊
qia 矻擖圶冾髂殎揢磍拤洽葜楬酠硈袷峠愘價卡帢跒掐恰
qian 鉆蔳藖黚蒨刋偂千慊縴釺牽虔葴荕騝乹灊谴嵌蜸綪挳嬱黔錢圲傔僉嵰箞靬壍悭遷缱肷蚈攑廞熑乾伣汘橬茾朁箝谸鳽婜儙厱岍軡塹骞篟潛顅銭葥墘杄孅煔歬岒簽揵鈐繾槧遣谦艌攐歉鬝羬蕁钳椠茜檶唊攓皘韆扲鳒諐竏牵鏲俔榩鹐鉛鬜騫悓芊鶼譴燫欠忴仱堑雃犍輤仟潜鉗膁撁慳芡篏淺前鰜脥迁纤愆褰汧欦棈阡摼钱奷钎拑櫏铅濳荨鰬鑯搴鵮凵蚙倩浅拪槏佥錎孯扦签鑓鐱钤媊鍼圱臤掔籤掮扡鈆謙騚
qiang 獇戧强鸧嬙羗蹌嶈羫廧彊椌牄鏘戕襁繦瑲呛將唴墻炝繈蔷摪蔃玱鏹艢羌琷漒羥錆蹡強溬羟嗴熗猐锖镪羻戗薔蘠枪搶槍牆勥蜣摤将抢嗆鶬跄鎗锵墏樯墙斨腔嫱檣謒
qiao 墧塙摮竅悄樵礉硗乔鍬嘺蕉鍫橋荍箾釥诮鐰橇愀顦跷峭郻勪頝誚毃骹憔趫偢髜敲蹻蕎鄥鞽幧桥缲招撽睄殼瞧碻嫶磽燋橾菬侨韒鐈喬鞘髚鄡蟜壳劁硚墝锹嶠幓谯繑翹峤翘譙噭躈蹺癄雀焳踍鞒燆巧趬僺窍殻繰撬嵪藮荞陗俏鞩帩墽礄僑磝
qie 藒嗛且詧緁箧趄慊鯜伽洯惬鐑魥茄悏挈切朅穕帹愜倢厒鰈匧淁踥妾笡篋锲蛣郄竊聺怯砌疌窃鍥癿
qin 寑嶜矝靲鵭昑抋寴唚衾菳耹寝鬵濅搇蠄揿鈫螼芩擒斳嵚橬侵鮼埁親禽堇琹吢琴鋟顩媇嫀锓鈂駸沁吣嶔藽瘽墐扲赺赾鈊菦欽廑儭亲笉忴螓勤懄珡坅芹嗪菣瀙檎誛懃撳慬鳹寢厪覃钦溱捦秦顉蚙澿綅骎雂鈙梫櫬埐噙
qing 儬廎鯖顷磬轻殸亲漀慶渹綪傾苘淸請倾请晴靘庆暒啨殑庼夝碃郬樈軽擎莔棾勍蜻親寈黥輕青剠凊圊葝檠甠鑋箐清綮氰檾濪靑氫卿頃情擏鲭謦氢罄掅鶄埥
qiong 橩穷熍焭卭竆惸煢焪瓗笻銎宆琼瓊藑桏筇舼瞏窮茕赹穹邛琁蛬跫嬛憌蛩睘藭儝璚
qiu 囚絿蝤璆俅鰍龟湫萩蠤鶖賕鹙逎鞦煪鱃蛷莍肍捄丘穐恘球求逑蓲玌唒篍崷緧觓渞秋紌楸鳅朹浗遒扏媝毬叴邱赇觩犰櫹鰌厹酋鰽坵仇皳汓巯蟗銶鼽丠蘒橚蝵盚蚯趥訅氿龝梂秌搝訄釓牫巰鯄泅鮂醔鞧虬裘虯殏糗龜釚湭
qu 灈阹佉趍籧耝闃蠷憈怚鼩鐻岨匤磲鶌衢厺閴區紶嶇取抾粬齲鸲跔忂詘戵郥胠魼衐翑趋渠蝺祛屈趨駈伹璖躣胊佢筁驱組蠼螶麹趣髷誳軥鰸詓阒戌岴覻坥跙劬蕖娶斪蘧呿鱋臞敺麴蛆袪欋癯朐刞驅去浀焌鴝诎翵覰曲躯駆淭麯竬鑺匷絇黢氍軀龋覷蟝菃区鼁蚼瞿岖竘璩蛐麮鮈苣觑弆鸜葋
quan 甽颧绻啳湶跧鐉券姾顴輇鰁辁弮峑駩畎痊洤權鳈圏縓勸荃惓悛瑔佺觠齤酄棬騡牷韏权巏勧全闎腃醛劝権犬虇埢拳铨絟狋灥搼圈筌鬈牶泉奍婘綣矔蠸恮硂葲汱孉犈詮诠銓烇踡蜷
que 愨蒛獡墧礐塙毃埆却缺舃傕雀敠慤榷闋悫礭趞鹊卻硞蚗瘸闕確炔鵲燩皵搉确隺崅碻阕碏阙
qun 峮麇羣囷箘麏歏群輑麕宭裠逡裙夋帬
ran 嘫姌媣髥舑染冉橪衻髯袇然呥繎蚺燃柟蹨冄肰珃袡苒熯蚦
rang 孃鑲镶儴蠰禳鬤獽瀼嚷攘譲壌穰蘘爙勷躟讓懹穣壤让纕瓤
rao 饒隢襓蟯绕娆遶饶繞犪荛橈桡擾蕘嬈扰
re 喏热若惹熱
ren 紝秹秂鵀訒韧妊魜姙牣認肕衽飪纴袵芢刃忈仁朲菍餁梕人釰鈓纫絍扨靭腍认銋稔仭棯涊任壬荵饪祍刄靱仞轫荏栠杒軔讱屻栣紉忎葚韌忍
reng 扔仍礽芿辸陾
ri 驲鈤氜釰馹囸日
rong 蓉熔媶氄镕嶸溶榵融羢戎搑容瀜縙髶蠑嫆茸褣坈鎔绒傛荣峵榮肜嬫軵絨榕穁駥茙曧狨瑢蝾螎爃冗烿嵘傇嵤宂搈毧
rou 鞣髳蝚厹瑈宍禸蹂輮腬鶔鰇媃粈肉糅揉騥渘楺葇鍒韖瓇柔煣
ru 醹邚擩褥襦入肗铷嗕銣帤曘辱桇濡縟颥茹薷蓐偄蕠蠕儒蒘侞獳鄏燸渪吺乳顬媷袽鴽筎缛挐溽如鴑鱬嚅孺汝鑐臑洳嬬繻
ruan 媆朊腝輭软阮軟愞燸礝檽壖緛瑌蝡撋耎偄瓀堧碝
rui 蕋枘蜹惢芮繠甤蕊瑞鋭鈉睿緌叡桵蕤蘂蘃橤汭壡锐苼蚋婑銳
run 閠閏橍润潤闰
ruo 焫箬叒婼偌鄀鰙撋弱鰯鶸篛若渃捼挼楉爇蒻
sa 钑颯仨靸灑鏾飒鎝泧洒鞈挲脎薩訯卅撒隡攃躠鈒蕯馺櫒潵萨摋
sai 嗮愢簺顋賽毸鳃塞腮赛思毢噻嘥僿鰓揌
san 帴閐傪饊鬖彡傘鏒犙糁椮橵糤糂叄氵弎馓繖鏾叁俕糣伞毶三散毵糝毿厁潵
sang 喪褬丧颡嗓顙桒桑鎟磉搡槡
sao 鳋嫂螦瘙縿臊氉骚搔鰠缫騷矂繰懆颾缲騒掃鄵慅鐰繅溞扫髞鱢梢埽
se 濇歰繬鉍澁鎍铯廧轖歮瑟涩雭栜銫洓擌拺懎穡闟色譅澀穯粣瘷嗇琗穑塞瀒啬溹飋璱鏼
sen 篸森椮槮襂
seng 僧鬙
sha 裟儍挱殺铩莎鯊濈閷歃桬帹嗄粆痧樧硰繺唼鎩霎箑喢霅菨沙紗魦摋剎厦萐閯杉榝纱煞杀砂唦鯋翣啑鲨倽挲啥刹廈翜猀傻蔱
shai 曬色酾簁諰繺篩籭釃筛晒簛攦
shan 笧痁擅掞潸灗羶膻譱釤煽搧狦山挻墠嬗剼剡陝汕埏襳檆柵穇嘇扇敾軕禅饍澘儃樿銏嶦睒脠鱣椫姗櫼覢疝掺撣笘删墡芟禪栅掸熌蟮衫襂邖騸闪晱蟺縿訕缮跚舢鯅幓閃单單钐鱓贍鱔苫赸傓骟顃膳鳣珊僐摻蔪杉鐥磰煔讪鄯潬刪陕鳝姍謆善顫繕烻閄羴纔赡炶攙
shang 绱墒殇熵殤赏丄贘鬺湯汤裳滳坰愓觞尚伤賞緔螪上恦禓鑜謪漡慯觴商蠰垧傷蔏埫塲扄晌尙鞝
shao 莦绍燒萷苕佋紹哨焼颵烧少萔韒鮹旓潲劭芍袑蛸髾柖綤艄勺杓捎娋卲鞘輎睄稍韶邵筲召蕱玿弰梢
she 蠂輋挕揲赊设騇畬佘懾拾灄弽闍檨渉射慴鞨抴舍摵歙社舌蔎摄阇捨欇畲虵涻厍舎赦賖設折韘滠猞奓麝賒蛥攝涉磼蛇奢厙慑
shei 誰谁
shen 绅曋蜃搷渖柛訠婶魫參詵昚申椹綝槮滲脤鋠籸瞫蓡叄嬸峷鵢燊穼审宷覾氠葠参祳娠讅身侁諗扟谂胂鲹糝眒鯓鉮抌肾邥神呻審涁駪愼深沈籶鯅幓姺矧紳罧鰺珅敒什蜄渗伔腎糁伸甚兟蔘曑甧侺瘮眘谉瘆裑矤瞋嫀棯訷淰罙鯵慎弞瀋薓砷叅堔甡莘哂屾诜葚頣妽
sheng 阩狌省勝呏榺泩声殅牲澠剩聖殸鵿湦绳墭偗賸鉎渑斘鍟陞縄升陹剰渻甥蕂琞娍眚珄譝繩聲枡貹生盛鱦胜昇竔憴曻鼪焺苼晠圣乘乗笙嵊晟
shi 嬕宲媞師獅旹虱褷鲺襹施鉂试實式峙崼飠時柿諡齛埘史尸仕咶湤眂痑狮昰佦拾蝨繹是鮖屍奭秲时飭釃鈰戺乨試舓恃觢厔炻鉇溡飾饰鰘跩呩鳲湜醳狶籭鼫师鉐匙視駛蝕鲥塒丆榯拭眡実舐煶噬氏絁恀柹枾褆誓笶市豕餙饣鰣囸檡殖濕视釶使竍睗襫螫姼莳弒铈詩峕餝似贳瑡蓍諟溮亊谥叓石鍦筮蒒屎士遰嵵食栻兘澤势邿鸤遈世侍鰤鉃箷忯揓鯴蒔浉鶳遾啇忕识狧示酾事轼貰室失适丗眎徥始嗜勢烒溼什遞適葹十識冟弑逝宩釋鳾敆鼭魳辻簭礻寔噓謚鉽实祏銴呞卋澨蚀湿馶惿軾驶释矢诗嘘
shou 垨痩授綬獸鏉手受艏膄瘦敊守售寿首熟夀兽収醻壽绶涭狩收
shu 疋叔贖儵属庶蔬襩璹跾抒俆糬鄃柕鶐悆瑹陎薥荗竪朮蠴俶錰疎孰絉梳翛紓裋树纾樞籔潄鵨豎鏣殳丨殊杸秫蒁赎菽墅署漱屬述數暏捈束婌稌咰氀攄樹濖軗尗潻鸀术蒣蜀潏橾舒摅忬焂书癙捒忄熟蠋塾綀鱰鱪鉥踈怷襡藷淑姝疏澍蠾黍竖枢隃兪輸数尌倏虪腧侸薯恕毹俞謶曙書瀭输沭鮛鼠庻毺掓倐戍暑術孎
shua 唰耍選选刷誜
shuai 摔甩衰帥蟀帅率缞卛縗
shuan 拴栓閂腨闩槫涮
shuang 漺灀欆艭鏯傱孀瀧雙鹴慡鸘鷞縔騻樉双霜驦泷爽塽孇礵骦滝
shui 祱稅氺水娷睡说閖涚説挩裞税谁涗說脽捝誰帨
shun 蕣顺瞬吮輴鬊瞤橓瞚舜眴順楯
shuo 碩獡烁硕数藥蒴説铄鑠朔說矟鎙燿欶數说爍槊箾洬妁搠哾
si 媤噝磃罒佁飴泀虒姒似耜禗鈻泗儩逘锶梩傂緦螄颸螔驷杫兕簛覗釲榹厮俟厕泤貄食祀糸洍嗣禠鸶撕楒亖駟価絲蟖禩厶巳鈶缌罳汜斯竢牭騦騃澌愢肂俬寺枱蕼蛳謕鐁孠銉瀃丝飔厠廝燍蜤思飤佀涘恖鍶柶蟴凘飼司鷥私蕬鉰死饲伺笥鋖鷉肆咝四鼶嘶銯娰偲
song 嵩凇楤菘松捒蜙漎憽耸憁鎹柗棇怂枀淞檧誦訟嵷送濍讼硹頌竦摗傱餸宋慫聳庺娀蘴駷愯梥颂愡忪倯诵悚崧鬆
sou 騪叜鏉廋摗馊嗾凁薮搜櫢擻鄋溲瞍傁擞棷餿醙蓃叟獀锼欶飕颾摉艘鎪嗽螋捜廀瘶藪颼蒐籔嗖
su 縮溯樎骕藗蹜璛榡玊穌鋉珟潥鱐甦窣速傃宿簌埣酥俗嗉愫櫯蘇囌鹔卹橚棴素遡塐肃诉溸莤膆肅涑鷫訴苏泝梀觫蔌殐餗趚縤鯂樕憟謖粛碿遬塑缩粟嫊潚驌夙蘓愬僳洬谡稣
suan 痠筭酸算笇狻祘選选蒜
sui 娞滖雖绥穟遀綏脺靃祟鐆檖穂陏缞虽随瓍襚縗荾隨夊哸嗺煫埣嵗毸熣繀濉鐩穗挼砕眭誶澻亗嬘譢岁髄賥旞繸隧尿芕遂荽懳韢膸睟鏸邃倠浽隋繐璲禭碎髓燧簑鞖谇葰歲瀡睢
sun 薞蓀孙榫孫鶽簨筍猻狲飧飱笋蕵搎喰潠损摌鎨損荪栒箰隼槂
suo 褨所献挱縮唆鎍睃趖莎莏髿獻惢傞暛琐索鮻唢桫犧锁羧鏁璅娑梭鎈缩嗦簑挲簔嗩嗍嫅摍溑蓑瑣鎖魦鎻
ta 撘嚺濌闧鞜她獺橽逹鞳溚闥涾阘禢鳎搨鎑闼誻嚃拓咜沓牠踏溻鎉毾漯他塔遢蹋墖它韃挞塌榙鮙鉈榻趿傝獭荅闒铊躢澾撻達崉遝祂嗒錔褟鰨狧譶
tai 漦颱抬苔檯軚擡枱夳鲐斄酞钛舦菭溙籉鈦汰邰台臺嬯燤咍炲炱儓太駘跆奤囼箈呔胎态態冭旲珆骀鮐薹孡肽泰忕坮忲
tan 瘫繵倓壇貚袒鉭舑餤罈墵坦埮醈滩澹赕痑嘾墰痰舕傝摊弹癱僋钽醓貪擹曇鐔婒憳锬襢坛攤覃醰惔谈昙歎憛郯憻撢炭嘆譠湠璮灘彈谭叹顃賧菼探鷤藫譚暺嗿嘽碳怹潬榃緂潭啴漢錟壜罎忐橝贪坍談檀毯镡
tang 篖倘耥羰燙糖鞺湯鐺鐋螗偒戃鎲鼞磄嘡帑饄堂闛鏜漡蹚橖逿摥曭漟矘铴鄌镋搪鎕攩餳啺醣棠蕩糃嵣禟樘簜钂淌趟镗汤唐膛烫煻溏伖赯榶闣膅鶶蘯黨欓螳瑭糛薚傥閶躺饧儻爣隚蓎劏蝪坣踼餹塘傏
tao 桃蜪慆瑫迯幍讨縧咷淘滔陶嫍謟韜裪綢叨轁夲燾騊搯啕饀匋逃仐槄萄駣綯套涛鞀飸绦檮绹鞱弢韬濤討掏醄梼鞉洮錭鼗縚絛焘祹饕籌鋾詜涭
te 蚮忑貸蟘忒慝貣铽螣鋱脦特犆
teng 膯謄疼鼟痋滕驣虅儯鰧漛幐誊螣僜縢腾邆籐藤籘騰駦
ti 磃桋屉姼媞罤悌殢梯揥虒苐崹剔涕趧楴鬀媂綈鷈绨躰髢衹擿銻荑稊遆骵俶體洟蟬锑迏蹄鯷醍騠嗁髰替禵鵜偍諦啼嚔弚缇徲緹悐瓋倜逖徥鴺屟謕迖軆厗漽鮷薙鬄鐟珶瑅蕛趯籊禔鶗鷤奃鍗躍蹏題穉踢渧裼挮褆詆蝭嚏鷉题惕惖鹈惿戻鳀扌鮧歒提褅逷屜掦体剃碮鶙
tian 娗黇搷窴錪甜痶睼瑱鷆鈿銛湉餂靦屇兲酟顛璳悿胋阗舔倎捵賟磌腆甛寘唺塡盷掭婖恬睓天晪淟钿觍鷏填靝田沺舚畋佃殄瞋顚闐铦覥緂靔碵琠錟畠添忝菾
tiao 頫齠蓧鞗髫鯈芀祧祒蜩咷窱苕趒蓨龆條眺条佻萔跳樤恌鰷糶调鋚岹螩朓窕迢誂斢粜岧鎥調覜晀脁銚庣挑絩笤聎宨嬥蓚旫艞儵鲦
tie 贴呫鉄銕跕餮僣鴩鐵驖貼聑飻萜惵鐡蛈铁鋨帖怗
ting 聤梃娗厛脡濎烶楟筳珽莛頲諪涏鞓庁婷霆颋蜓閮町侹耓艼蝏邒侱厅亭汀庭庍廰艇誔烃珵铤厑葶忊听鼮廷榳綎烴鋌廳圢嵉聼聽挺聴桯渟停
tong 峒綂僮哃鉵仝潼瞳桶佟浵銅痌燑通烔穜赨爞彤朣詷庝憅秱晍垌膧衕同峝童冂鮦粡筒蓪氃餇獞統捅桐囲恸硧恫熥嗵峂樋酮絧鉖铜鲖统砼勭犝筩炵侗蚒偅痛慟劏橦狪茼眮曈
tou 埱骰透鋀頭亠緰哣偸褕媮偷投鍮头婾綉
tu 钍怢突堍宊鵌鍎跿瘏鷵兎悇兔峹鵵湥馟瑹庩酴鶟揬鋵捸圡土冖嵞図涋腯徒荼鈯鵚汢鼵吐屠唋图痜涂葖廜嶀摕鷋趃圗筡迌禿凃途釷莵潳捈堗菟稌秃凸駼梌塗蒤圖啚
tuan 団圕畽漙鶉蓴褍檲鱄抟糰湪彖貒團团槫猯摶篿鷻剬墥湍褖剸塼鏄疃嫥煓鷒慱
tui 墤脮蓷橔忒蹆褪蜕聉讉隤頹穨尵俀侻娧魋螁僓煺蹪骽頺騩藬蘈退駾推焞颓腿頽蛻
tun 饨軘霕畽芚褪忳黗呑旽屯蜳涒鲀吞朜飩臀豘膯豚氽囤暾臋庉焞啍坉噋魨
tuo 毤鮀脫踻挩乇捝萚侻魠托棁铊狏鼍脱紽仛岮沲迆拓鱓佗椭鴕撱嫷庹驝莌鉈咃馲託跅槖驼拕箨詑橐軃讬驒飥鼉駝鼧唾馱鰖駞鸵砣酡侂饦陀彵媠柁杔迱魄跎陁籜牠堶毻驮妥楕涶拖阤沱蘀沰柝袉駄袥汑舵砤坨扡碢橢鵎
wa 袜娃溛瓦劸畖漥咓窊凹娲挖哇嗗聉腽姽韈邷洼嗢砙佤媧譁韎膃襪屲搲鼃窪韤唲攨徍啘窐蛙穵靺帓
wai 瀤崴咼夭歪顡喎外竵
wan 脘丸鋺纨晚夘婉宛皖鄤綩绾晩烷潫關腕娩妧婠琬盌弯蔓涴唍瞣睕澫贎顽萬槾捖骩脕関骪踠惌碗贃椀灣玩錽莬綰鍐貦梚輓薍畹抏完貫挽塆剜壪箢彎晼忨汍刓莞鋔帵捥蜿琓倇卍魭卐万葂輐菀蟃晥翫岏芄骫蚖埦闗紈湾鋄頑鎫夗豌惋
wang 抂罓王盳蛧忘枉尪兦瀇輞惘罖汪往蝄菵尩旺琞棢網罔迋誷蚟魍暀莣妄尫网忹望迬徍辋亡朢徃尣彺亾仼
wei 胃鳂危觹煒委嶶葦鮪味葨儰煟菋腲頠緯蔚痿楲為鄬維颹为罻饖囗蜲唩猚葳峞涠闈癐芛愇觿斖沩媁錗蝟娓諉硙熭喡骩撝亹餵癓渭瓗犚躗韙硊媙喴鍏骪苿维褽潙微椳厃霺撱椲膸浘覹谓桅韪慰覣隇猬寪位潍猥鮠洧薳玮偽偎霨轊燰渨愄鍡伟湋圍煨懀闱崴碨苇荱軎螱詴伪鳚徫僞躛觽魏壝遺尾蒍醀緭畏鰖喂鰃沇爲趡隗踓梶磑薇帷讏瀢暐隈鲔濰遗烓巍圩廆痏讆未蓶萎威磈潿蔿藯违围洈幃瑋揋尉璏媦纬韑韡惟踒诿琟嵬韦違濻峗骫溈揻屗餧鏏艉溦鮇濊謂逶偉衞蜼帏犩崣蘶唯恑韋墛炜卫蝛叞衛捤嵔鰄
wen 蕰呅雯文汶鴍缊刎歾脗紊炆揾芠塭藴鳁渂问忞肳蚉亠穩妏彣鴖絻閺舋馼瘟蘊駇鼤輼吻薀緼問魰榅脕稳瑥褞搵螡闦鳼縕紋桽昷鎾抆忟韞瘒闅榲呚温殟豱闻顐蟁閿呡蕴阌鰛蚊轀穏辒莬聞鰮璺溫纹珳
weng 鹟塕瞈嵡暡鶲勜奣罋滃鎓攚聬齆嗡螉甕瓮蕹翁蓊
wo 硪涹我卧楃喔撾渥渦雘仴斡龏枂艧嚄蝸幄踠挝踒捾濣猧瓁握肟濄捰薶馧齷焥唩蒦臒偓蜗臥婐莴腛涡窝涴堝窩倭媉萵捼龌瞃沃婑
wu 忤毋弙啎倵誤蟱烏怃摀唔务鰞鄔吳務鹜噁粅逜熓於揾呉扝巫釫無妩鋘剭杅鷡譕舞霧忢伍惡玝晤鶩茣物扜芴寤铻祦五螐憮鯃武雺浯潕杇渞鴮午屋歍儛戊塢齀乌诬坞沕蜈悮溩橆敄莁洿鹉悞婺霿峿娪俉汙齬嵨勿熃鼿亾屼誣焐誈娒侮瞴嵍矹鋙騖鵡迕靰兦牾误廡呜捂躌钨箼嗚雾邬污陚膴杌鹀鼯霚圬伆悟痦奦扤恶幠甒窏珸无梧珷兀岉蕪吾窹碔阢鎢汚嫵隖庑骛旿墲璑趶洖娬蘁吴仵禑芜亡郚鵐蝥瑦鋈
xi 凞嶲綌訢窸赥矽謵禊熄巂洗喜熈熻杫噏摡繋阋溪喺鉩虩暿躧隙蜥榽隵郋氥霼昔豯薂嚱羛貕鵗巇襲鎴脇屭恓嵠滊潟廗锡蹊唏徯稀盻犧钑惁汐憘塈釐戯腊奚趘囍葸蟢磎舾餏獡焁屣焟晳肸觽傒翖嬉熹誒犀螇蔇栖覡饻葈釸瓕歙礂希屓璽豨肹谿觋媳驨郗系莔騽欪鳛郤蓆檄纚席蹝吚宩蜡悉蜤澙餼兮習饩嘻繥恄舄隟禧赩歖焬鼳鰼觹蠵諰晰戲吸莃焈熙鬩糦墍鈢浠嬆怬牺析螅戱皙係扸烯蟋卌細晞譆瞦漝觿鸂椞细戏碏忥翕槢铣悕狶脋錫琋息淅鼷习鱚蒠燍蝷鈒爔屃惜謑怸飁嶍扱俙蕮欷裼騱熂绤粞覤袭呬餙茜橀酅醯繫欯熺愾屖趇僖緆鼰雭縰徆膝徙闟蓰壐枲唽黖鏭咥豀覀穸樨鉨銑西睎娭犔磶漇卥菥瘜稧厀舃曦衋霫硒诶羲玺椺夕鄎桸潝隰忾慀縘邜雟鑴郄忚蒵憙燨矖釳煕匸徔
xia 鎋夏敮夓笚黠峽暇呷捾鏬峡鍜狹筪昰匣吓狭烚浹煆炠螛侠轄硖翈芐叚柙搳魻鰕蝦郃騢舝徦碬欱硤遐狎傄虾厦丅蕸埉辖罅舺鎼懗磍祫謑赮颬陜俠瞎霞縖嚇谺珨陿瑕廈下疜諕唬睱鶷
xian 糮筅衘蚿閒嗛澖輱藖咸癎韯忺韅崄锨蘝瞯嫺洗撏幰舷綖氙繊攇禒粯豏鍌礥僲莧跣馦鏾僊鼸獮珗纎玁蔹唌涀僩餡憸銜盷鷴睍鹹稴锬婱見哯閑峴伣佡蘞铣县胘脇脋莶啣軒伭猃线譀娨癇現躚蛝贤綫線褼铦薟誸顈橌醎弦嫌錟県陷宪嬐羬现杴攕蹮鮮娹硍顯縣俔灦献鷳娊憲酰蘚憪廯獻尟銛瀗狝絤鍁咞贒湺咁絃显臔搟先襳挦諴撊膁赻岘羨蚬痫鹇獫限壏苮櫶嶮羡掀險麲衔腺缐仚姭纤屳祆涎鷼銑毨暹臽欦燹霰见縿籼姺险烍冼懢誢娴賢瞷嫻僴晛鱻闲蜆韱槏錎奾鶱苋麙甉仙綅尠軐嘕鲜藓臤垷馅譣秈纖鋧箲跹孅
xiang 闀絴镶晑乡響缃洋銄降鄊鐌襄鴹葙栙銗郷厢驤鑲姠膷羏廂香跭像巷迒象緗珦鄉响佭餉飨庠饟骧鱶鄕向祥湘薌潒橡鬨缿瓖蟓詳鯗蠁详蘘勷芗啌蚃稥欀项亯衖瓨嚮箱鱌儴忀饷嶑曏想項麘閧襐饗翔萫鲞闂相享勨鮝纕
xiao 穘消箫蟰莦殽洨毊窙轇撨颵蟂焇硣斆綃誟嗃揱灱咲啸詨翛鸮崤鷕嘯獟獢謏歊烋薂婋蠨庨鴵郩恔髐虓熽霄蛸蟏暁憢魈削哓嘐藃謞嚻鷍鴞睄虈枵笑校歒熇彇瀟漻櫹簘髇歗嘵宵嘨銷萷皛脩囂筿篠小皢潇销謼敩灲誵淆橚俲驍孝骁曉傚膮蕭晓宯硝燺效斅涍筱逍澩撓呺嚣侾枭簫哮痟燆痚萧訤嘋猇鵁肖効梟譊绡踃
xie 歇僁鍱擷頁齥峫斜暬恊齛泄祄楔鬹襭瑎薢澥谐媟绁缷糏旪鲑魼諧獬偕膎繲撷韰枻奊脇脋屭滊褉謝愶緤劦觟解垥屃懈孈鞵偞攜焎叶榍齘挟夑鞋榭纈血邪讗写契猲衺瀣卨瀉烲些寫褻屑絬谢页紲蟹蝑諜鞢綊偰脅龤燲炨挾徢渫屧灺緳絏嗋鐷蠍携屓蝎协湝噧絜邂躞廨擕儶禼亵屟揳搚爕鮭藛炧熁躠泻颉塮械薤勰翓蠏碿慀協伳頡冩蝢齂卸燮娎拹缬嶰洩胁
xin 鈊廞訢脪歆孞信新馨枔馫襑炘俽噷嬜囟忻杺阠釁邤顖盺妡薪庍礥心鬵芯惞鋅軐鑫伩锌馸焮憖镡辛莘昕舋訫鐔衅欣
xing 熒狌省鈃骍嫈腥兴騂邢箵臖铏睲塂倖擤蛵謃鋞曐涬坙惺鮏行形钘杏瑆陉荥餳篂星嬹觲硎型興滎鉶悻荇醒洐婞垶性煋觪侀皨巠莕幸猩鯹陘姓饧娙緈刑
